,javascript,java,c#,python,php,android,jquery,html,c++,css,ios,mysql,sql,asp.net,r,c,arrays,ruby-on-rails,node.js,.net,objective-c,json,sql-server,angularjs,swift
2008-08-01,19.59259259,32.47044335,101.1978495,6.011396011,8.632258065,0,4.41025641,6.652421652,11.53978495,2.74,0.142857143,2.776666667,9.790640394,38.52988506,,3.517195767,0.5,2.045454545,,62.9655914,0.435897436,0.142857143,16.07931034,,
2008-08-08,22.32643678,34.45806452,117.7827957,10.85185185,10.4516129,0,4.14619883,7.284391534,12.19139785,3.717948718,0.214285714,2.984615385,16.06403941,44.49310345,,3.913793103,1.093567251,1.79,,71.49032258,0.4,0.1,20.41954023,,
2008-08-15,28.38064516,39.49032258,154.9247312,10.52258065,10.62580645,0,3.643333333,6.740229885,14.83655914,6.472906404,0.214285714,2.986153846,16.99261084,63.82365591,,4.206451613,1.173913043,1.952380952,,136.2516129,0.571428571,0.386363636,26.48850575,,
2008-08-22,152.1913978,823.1032258,1275.503226,88.66451613,94.62580645,0.142857143,5.661375661,34.52413793,235.9956989,19.15517241,0.254545455,31.48148148,118.6310345,257.4580645,0.25,47.98064516,2.766304348,27.76600985,,907.0129032,2.639705882,1.533333333,121.6505747,,
2008-08-29,181.8946237,944.2924731,1461.531183,129.655914,127.2451613,0.166666667,5.310344828,47.95698925,268.5032258,23.31397849,0.230769231,31.16256158,142.1195402,319.9591398,0.25,52.29247312,2.973333333,40.86091954,,1041.832258,2.596491228,1.388888889,149.8580645,,
2008-09-05,152.855914,850.6580645,1384.513978,121.516129,117.8516129,0.142857143,7.154022989,46.09892473,259.2924731,20.49507389,0.769230769,30.60229885,135.3827957,294.7397849,0.25,51.72473118,3.361538462,37.44827586,,988.6645161,2.157608696,1.355263158,143.9225806,,
2008-09-12,127.6795699,746.7806452,1323.111828,108.3892473,109.2236559,0.142857143,9.062068966,42.91827957,203.9612903,18.72167488,0.756410256,26.92988506,141.516129,294.1849462,0.25,43.31182796,3.802910053,33.86236559,,923.6731183,2.104615385,1.714285714,148.9032258,,
2008-09-19,83.35698925,364.3849462,813.916129,69.85806452,82.26666667,0.111111111,15.37684729,29.32258065,121.0473118,13.59126984,0.756410256,20.36129032,107.8494624,201.6623656,,21.33333333,3.814814815,24.82795699,,594.6129032,1.702298851,1.014492754,103.7806452,,
2008-09-26,86.32258065,267.5591398,709.3591398,39.24731183,72.51612903,0.444444444,15.54137931,27.00645161,92.94623656,11.35846561,0.685714286,15.2,86.27311828,179.9849462,,18.16129032,4.988505747,18.23225806,,516.8924731,1.391397849,1.023333333,87.67311828,,
2008-10-03,84,254.0258065,746.8322581,33.49462366,65.12258065,0.5,14.89195402,26.36129032,70.56129032,10.31054131,0.261437908,15.95698925,81.67311828,189.655914,,14.29892473,6.298850575,15.42988506,,413.827957,4.11954023,1.766304348,82.39784946,,
2008-10-10,86.26666667,253.4516129,654.716129,34.46451613,47.46236559,0.5,15.06206897,32.9655914,64.79784946,10.85221675,0.261904762,17.34623656,75.84367816,184,,13.72258065,5.788505747,11.35747126,,406.1397849,4.102298851,1.454545455,69.62795699,,
2008-10-17,74.60645161,245.3913978,606.5311828,26.86451613,37.03655914,0.5,10.99885057,34.76989247,72.21290323,11.46551724,0.260869565,27.31182796,46.32298851,182.455914,,15.15913978,6.051724138,9.955172414,,335.7182796,4.355172414,1.489177489,67.40645161,,
